"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2014","2014","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2016","2016","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2017","2017","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2014","2014","USD","US Dollar","0","Units",,,4858.332,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2015","2015","USD","US Dollar","0","Units",,,4944.771,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2016","2016","USD","US Dollar","0","Units",,,5195.36,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2017","2017","USD","US Dollar","0","Units",,,5360.423,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2018","2018","USD","US Dollar","0","Units",,,5538.347,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2014","2014","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2018","2018","PC","Percentage","0","Units",,,100,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2014","2014","USD","US Dollar","0","Units",,,4521.513,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2015","2015","USD","US Dollar","0","Units",,,4653.813,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2016","2016","USD","US Dollar","0","Units",,,4777.091,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2017","2017","USD","US Dollar","0","Units",,,5013.987,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2018","2018","USD","US Dollar","0","Units",,,5103.2,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2014","2014","USD","US Dollar","0","Units",,,4536.239,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2015","2015","USD","US Dollar","0","Units",,,4674.496,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2016","2016","USD","US Dollar","0","Units",,,4849.601,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2017","2017","USD","US Dollar","0","Units",,,5107.207,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2018","2018","USD","US Dollar","0","Units",,,5294.51,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2014","2014","PC","Percentage","0","Units",,,9.379,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,9.526,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2016","2016","PC","Percentage","0","Units",,,9.208,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2017","2017","PC","Percentage","0","Units",,,9.296,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,9.248,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2014","2014","USD","US Dollar","0","Units",,,455.683,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2015","2015","USD","US Dollar","0","Units",,,471.041,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2016","2016","USD","US Dollar","0","Units",,,478.384,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2017","2017","USD","US Dollar","0","Units",,,498.285,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2018","2018","USD","US Dollar","0","Units",,,512.185,,
"HFTOT","All financing schemes","HC511","Prescribed medicines","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2014","2014","PC","Percentage","0","Units",,,11.973,,
